Gene,bind_logFC,expr_fong,adjP_fong,expr_map2,adjP_map2,sign_concordant,delta_abs_expr
NASP,1.844710839321344,0.6128436618560791,0.2835920950744432,1.09468770037037,0.3693936678006834,True,0.48184403851429103
NCAPG,2.120352873828411,1.43208623427517,0.0184547902943026,1.550959978888889,0.2149019339907676,True,0.11887374461371913
NCAPG2,1.757531858319253,1.86607368591171,0.0111608826198735,1.417872772222223,0.283623876730574,True,0.4482009136894869
NCAPH,1.459640937320033,1.403941331938082,0.0184547902943026,1.212660696666666,0.2410013923269574,True,0.19128063527141603
NDC80,2.220368537259044,1.475102281605809,0.0205045279505499,1.552816443333333,0.225786959025751,True,0.07771416172752388
NEK2,3.017470413897539,1.508921384732487,0.0301730387524996,1.530788197777778,0.225786959025751,True,0.021866813045291034
NR4A3,-2.215664333529,1.75230544296314,0.0651651861378937,-2.181305555555555,0.3226644580655576,False,0.429000112592415
NSL1,2.512446425718175,1.631521465619564,0.017139468735427,2.1885218525,0.2457987141030398,True,0.5570003868804361
NUSAP1,1.437273430820962,1.175600126240884,0.0933492083046481,1.518208936666667,0.2116043124877084,True,0.34260881042578295
OIP5,2.611504648525019,2.056595700589652,0.063678592985966,1.362067388888889,0.3524321190648987,True,0.6945283117007628
PDE4DIP,-1.436939708707467,-0.6636492188818419,0.0748801776307711,-1.380375151111111,0.2149019339907676,True,0.7167259322292692
PKMYT1,1.558879718567687,1.818121535643073,0.0318499661763117,1.852968655555556,0.4075424586334539,True,0.034847119912482905
PLK1,2.972519661574066,1.150101711610306,0.1169669773741732,1.09373844,0.2531414624242242,True,0.056363271610305965
PRC1,2.558431421493897,1.64221157487323,0.0239597483365445,1.304942756666667,0.2421743102441036,True,0.33726881820656307
PSRC1,2.166941566847905,2.071546596007572,0.0143190350461575,1.349981594444444,0.2860220357663131,True,0.7215650015631279
RACGAP1,1.867097054982266,1.520735322477263,0.0238708470515851,1.302655276666667,0.2503250160740336,True,0.21808004581059603
RAD18,2.407878253950354,1.527519673432835,0.0141633253952389,1.791055358888889,0.2617001891704405,True,0.263535685456054
RAD51,1.607368325284127,1.696622830599738,0.0480628341509684,1.799067992777778,0.2610624618991867,True,0.10244516217804
RAD54L,2.309720556316935,1.381515950171964,0.0435530979925609,1.711928481111112,0.2852741805486515,True,0.3304125309391479
RBBP8,1.449546300031691,0.9485463243361156,0.1092499326266747,1.179803647777778,0.417468269835634,True,0.2312573234416624
RFWD3,1.918788815186192,0.9444222054024128,0.0685553127840271,0.7566745577777778,0.4737952203167812,True,0.18774764762463503
RPA2,1.987778039380911,1.202047332465465,0.0523431297458958,0.9536846522222224,0.4498537551444297,True,0.2483626802432426
RRM1,2.11222852736467,0.9626282453911852,0.0569599299837336,0.7254524433333334,0.5550818933576049,True,0.23717580205785183
RRM2,2.260315822138022,1.472020929261857,0.0351637046375137,1.190602087777778,0.4024227748529564,True,0.2814188414840788
RTTN,-1.678897428060848,0.8973877482190131,0.1879682373857065,1.121065332222223,0.3405452947739615,True,0.22367758400320992
SASS6,2.46842144525437,1.274368367903815,0.0415745653205864,1.418416498888889,0.3330809593819589,True,0.14404813098507407
SPAG5,2.413096106559417,1.436727264923144,0.01686502422549,1.455735005555556,0.2149019339907676,True,0.019007740632412062
SPC24,2.506544146987414,1.705591062586549,0.0447250024563442,1.156503463333334,0.4022993315465296,True,0.5490875992532149
SPC25,2.003915820784496,1.647644446787544,0.0474100448555194,1.624382457777778,0.2229108108783872,True,0.02326198900976606
SUV39H1,2.105772508526727,0.7264373540879134,0.1244867390771278,1.376527244888889,0.3159703159353478,True,0.6500898908009756
SUV39H2,1.962043161017073,0.9986345364826654,0.2049329635855413,0.9876021455555556,0.4921257780215912,True,0.011032390927109836
TERF1,1.780529146235796,0.7933532030564301,0.1279611000032841,0.879822833888889,0.2696877284353387,True,0.08646963083245895
TIMELESS,2.351542374530895,1.189979964761665,0.0115545778440804,1.201343748333334,0.5741258631243088,True,0.011363783571669117
TOPBP1,2.197697092176385,1.465024199333319,0.0290830910486422,1.03148416,0.4053126737138054,True,0.4335400393333191
TPX2,3.042100227079819,1.545548683133468,0.0184547902943026,1.097695195555556,0.2977993747428456,True,0.4478534875779119
TTK,2.825774155443693,1.491449206652231,0.0267388776444909,1.825626034444445,0.2149019339907676,True,0.33417682779221414
UBE2C,3.039811204366357,1.1216903660175,0.2440858333967431,1.445117573333334,0.2116043124877084,True,0.32342720731583396
XPO1,2.263869741844275,0.7473065547594349,0.1264627012218707,0.6507977450000002,0.4343886479131431,True,0.09650880975943466
XRCC2,2.890532998845596,1.297712489734822,0.0420266888179954,1.034951162277778,0.299096052757323,True,0.26276132745704395
ZW10,1.652448403195695,0.535813650516678,0.1901193675920088,0.7934258788888889,0.4073584425633512,True,0.257612228372211
