Gene,bind_logFC,expr_map2,adjP_map2,expr_cag,adjP_cag,sign_concordant,delta_abs_expr
RRM2,2.260315822138022,1.190602087777778,0.4024227748529564,1.65120824666667,0.0170923609242367,True,0.4606061588888919
RTTN,-1.678897428060848,1.121065332222223,0.3405452947739615,1.32733883333333,0.0994394716878202,True,0.20627350111110698
SASS6,2.46842144525437,1.418416498888889,0.3330809593819589,1.94781144333333,0.0205169942010692,True,0.529394944444441
SPAG5,2.413096106559417,1.455735005555556,0.2149019339907676,1.77611987666667,0.034828514006409,True,0.3203848711111139
SPC24,2.506544146987414,1.156503463333334,0.4022993315465296,1.59421508,0.0281702769553542,True,0.4377116166666659
SPC25,2.003915820784496,1.624382457777778,0.2229108108783872,2.02653887333333,0.0265324131753278,True,0.40215641555555215
STAMBP,-1.739811840680812,-0.5589319855555556,0.5636280253696999,-0.611705143333333,0.253153070465596,True,0.05277315777777747
SUV39H1,2.105772508526727,1.376527244888889,0.3159703159353478,1.90938121333333,0.0285313003732331,True,0.5328539684444411
SUV39H2,1.962043161017073,0.9876021455555556,0.4921257780215912,1.53791223,0.0271546000795182,True,0.5503100844444445
TBX1,-1.848831408495594,1.286138598888889,0.4717150152014093,1.64938657666667,0.0886021273798657,True,0.36324797777778106
TERF1,1.780529146235796,0.879822833888889,0.2696877284353387,0.894913669333333,0.118201878694136,True,0.015090835444444006
TIMELESS,2.351542374530895,1.201343748333334,0.5741258631243088,1.974350371666665,0.0125996860209247,True,0.773006623333331
TIMP2,-1.511652502836697,-0.649411420777778,0.523126658726634,-0.876039822333334,0.0781214136767829,True,0.22662840155555597
TOPBP1,2.197697092176385,1.03148416,0.4053126737138054,1.31836347666667,0.039325020235728,True,0.2868793166666701
TPX2,3.042100227079819,1.097695195555556,0.2977993747428456,1.340417626666665,0.0297316478649037,True,0.24272243111110892
TTK,2.825774155443693,1.825626034444445,0.2149019339907676,2.04887244333333,0.0687334144940681,True,0.2232464088888848
UBE2C,3.039811204366357,1.445117573333334,0.2116043124877084,1.499869179166665,0.0911897636980435,True,0.05475160583333105
UBE2E2,-1.840880126984897,-0.6458779452222224,0.4215213127519002,-0.69839573,0.163421975370913,True,0.052517784777777576
XPO1,2.263869741844275,0.6507977450000002,0.4343886479131431,0.7563681656666665,0.0441654699294869,True,0.10557042066666633
XRCC2,2.890532998845596,1.034951162277778,0.299096052757323,1.83779876666667,0.0439403307508101,True,0.8028476043888919
ZW10,1.652448403195695,0.7934258788888889,0.4073584425633512,0.944123906666667,0.0612142415191007,True,0.15069802777777808
