Gene,log2FoldChange,pvalue,padj,baseMean
CABP5,0.8455573316541558,,,5.797970666666667
NRM,0.8437973666771136,,,6.891710833333334
NDC80,0.8434243396090013,,,5.3246715
RFC5,0.8430975400963295,,,8.000258333333333
RP23-480B19.10///HIST1H2AN///HIST1H2AG///HIST1H2AC///HIST1H2AD///HIST1H2AE///HIST1H2AB///HIST1H2AI///HIST1H2AO,0.8423104729324782,,,3.842881333333333
CDKN2C,0.8421150876210598,,,6.083202333333333
TRIM59///LOC667272,0.840640314447123,,,6.315875166666667
CNTLN,0.8400448571122177,,,5.928034833333332
RFC1,0.8372859496357615,,,7.113992
GINS2,0.8336034706212704,,,6.877833666666667
1700029F09RIK,0.8326518738982975,,,5.947647166666666
DONSON,0.8301939799247583,,,6.8210835
NCAPD2,0.8293461723458294,,,7.094009
SKP2,0.8266823021719708,,,7.542624166666666
KIF2C,0.8248127317659351,,,5.834168833333333
KIF15,0.823398832492389,,,5.9331024999999995
TTK,0.8231366146139992,,,5.457740333333334
TPX2,0.8229572092552074,,,6.727121
MED18,0.820964800107631,,,5.886450666666666
HIST1H2AK,0.8172049176209905,,,10.757425
HN1L,0.8169631093295844,,,8.817069333333334
FANCM,0.8169152833159505,,,6.147127833333333
ETAA1,0.8154573033702714,,,5.482926166666666
RAD18,0.8140990261640857,,,7.186898666666667
CLN6,0.8126046009179398,,,7.624233666666666
GINS4,0.8097185100784755,,,7.737117333333334
ALMS1,0.8096237741835384,,,5.2975825
NMRAL1,0.8025150209747133,,,6.979499499999999
D330017J20RIK,0.8019012976261382,,,5.377289166666667
USP49,0.8002623751174562,,,6.939666333333332
TRIP13,0.8001244299279514,,,5.641804
CBFB,0.7978975042292766,,,7.6656096666666675
OTTMUSG00000006556,0.7971558702222459,,,4.818990833333333
SHCBP1,0.7966919372823331,,,4.737836833333333
KIF14,0.7955439610347466,,,5.362888833333334
FIGNL1,0.7931031498649166,,,5.690098666666667
AURKB,0.7917436534254338,,,7.122529833333332
4933413G19RIK///FOXM1,0.7905658761878395,,,6.5812323333333325
DPY30,0.7901917576284987,,,7.712269166666668
H2AFZ,0.7851460801113115,,,8.154352666666666
RAD54L,0.7849317445446425,,,5.969540166666667
HIST1H3H///HIST2H3B///HIST1H3D///HIST1H3I///HIST1H3E///HIST1H3B///HIST1H3C///HIST1H3A///HIST1H3F///HIST1H3G///HIST2H3C1///HIST2H3C2,0.7846708149969057,,,11.293851666666667
BAZ1B,0.7843819454503136,,,7.919650833333333
RFC2,0.7840150170032191,,,6.633997666666667
C330027C09RIK,0.782654137693152,,,5.763091666666667
INTS7,0.7801182309448825,,,7.832341500000001
NCAPH,0.7785237477022434,,,6.282958666666667
POLQ,0.7757051172705797,,,6.229821333333334
HERC5,0.7750248277704606,,,5.038843999999999
KIF18A,0.7737876676347224,,,5.593106833333334
DCK,0.771833277231755,,,6.750016666666667
NKD2,0.7717114307003026,,,7.102740666666667
CCNB2,0.7716542218092017,,,6.828166833333333
WDR90,0.7693330255664291,,,6.224751333333334
SMC6,0.7616324146657778,,,7.379861666666666
PPIL5,0.7614794070479771,,,5.651353666666666
LRDD,0.7598586407847865,,,6.415102666666666
HIST2H2BB,0.757547899406477,,,6.9816018333333325
CCNB1,0.7553529366772647,,,6.786347833333333
MYBL2,0.752479291740042,,,6.3153015
RNF168,0.7519132132491939,,,7.947679333333333
2310008H04RIK,0.7506496349846794,,,5.885501333333334
4930427A07RIK,0.7502328563172217,,,5.805642166666666
SLC2A4,0.7501677559377764,,,6.224828500000001
BC055324,0.7497667963528548,,,6.415258000000001
SAMHD1,0.7484553935122901,,,6.890025166666667
SMC5,0.7475995665710983,,,8.15192
SYT9,0.745098069296544,,,7.646511
ORMDL1,0.7446634966121872,,,6.7717255
E2F3,0.7443579777096523,,,7.2957643333333335
NPAT,0.7399031313948077,,,7.215555999999999
NBN,0.7392493896260802,,,6.395672833333333
TEX15,0.7376741296618489,,,4.7816365
NEK2,0.7359636697327548,,,5.9342315
PMP22,0.7333099960426399,,,8.809182499999999
D17H6S56E-5,0.7320721371315401,,,6.205958333333332
CDCA8,0.7320668389175002,,,6.0331505000000005
SPAG5,0.7309658649376477,,,5.739220333333333
2610036L11RIK,0.7284059023694334,,,5.900996666666667
HIST1H2AA,0.7267119609365276,,,6.9003343333333325
FANCD2,0.7266956583504927,,,5.3035758333333325
OIP5,0.7235894900758958,,,5.1588115
GABRQ,0.7235455433021742,,,5.420476333333333
SDC1,0.7176516400256564,,,7.332302833333334
N4BP2,0.7153686347973737,,,7.122867833333334
4732479N06RIK,0.714294409085612,,,5.9685413333333335
A730008H23RIK///6430706D22RIK,0.7112422917605465,,,6.963588666666666
TBC1D1,0.7087707306494588,,,6.866051666666667
TUBE1,0.7086981708576748,,,6.138794666666666
POLD3,0.7054898897409179,,,7.673820666666667
SENP1,0.7016502749167818,,,7.3275935
TMEM107,0.7004882806583594,,,5.793666166666667
OBFC1,0.6996376231130245,,,6.3412853333333326
RAET1B///RAET1D///RAET1E,0.6991426629072485,,,4.312499666666667
3000004C01RIK,0.698316018006225,,,6.749270833333334
TUBG1,0.696963921925644,,,9.482182166666666
NANS,0.6968699397366072,,,6.980947833333334
D330028D13RIK,0.6968508933575144,,,6.008600166666667
HIST1H4D///HIST1H4I///HIST1H4H///HIST2H4///HIST1H4C///HIST1H4M///HIST1H4J///HIST1H4A///HIST4H4///HIST1H4B///HIST1H4K///HIST1H4F,0.6963072535363664,,,6.065283166666667
HIST1H2BA,0.6942251608344038,,,5.563207166666667
RP23-480B19.10///HIST1H2AK///HIST1H2AN///HIST1H2AG///HIST1H2AF///HIST1H2AC///HIST1H2AD///HIST1H2AE///HIST1H2AH///HIST1H2AB///HIST1H2AI///HIST1H2AO,0.6934220110642058,,,11.473646666666667
FKBP5,0.6913755937469358,,,6.768257333333334
GJC1,0.6906394165931974,,,7.292542666666666
IQGAP3,0.6895935744855283,,,5.9874575000000005
NUP43,0.6887866779262791,,,6.3557429999999995
MOAP1///UBR7,0.686995451958775,,,7.069711666666667
PLK1,0.6858979991639664,,,7.097130666666666
UBE2C,0.6858092126048391,,,7.111245333333334
RP23-480B19.10///HIST1H2AN///HIST1H2AG///HIST2H2AC///HIST1H2AC///HIST2H2AB///HIST1H2AD///HIST1H2AE///HIST1H2AB///HIST1H2AI///HIST1H2AO,0.6839638164967351,,,10.904521666666666
